번호,날짜,영화제목,관객수,개봉일
1,2022-10-20,블랙 아담,45887,2022-10-19
2,2022-10-20,인생은 아름다워,16130,2022-09-28
3,2022-10-20,공조2: 인터내셔날,11238,2022-09-07
4,2022-10-20,에브리씽 에브리웨어 올 앳 원스,5276,2022-10-12
5,2022-10-20,오펀: 천사의 탄생,4870,2022-10-12
6,2022-10-20,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,4820,2022-09-28
7,2022-10-20,정직한 후보2,4307,2022-09-28
8,2022-10-20,귀못,3961,2022-10-19
9,2022-10-20,리멤버,3183,2022-10-26
10,2022-10-20,극장판 5등분의 신부,2486,2022-09-22
11,2022-10-20,스마일,1685,2022-10-06
12,2022-10-20,대무가,1658,2022-10-12
13,2022-10-20,미혹,1448,2022-10-19
14,2022-10-20,가재가 노래하는 곳,1046,2022-11-02
15,2022-10-20,티켓 투 파라다이스,1023,2022-10-12
16,2022-10-20,더 요트,712,2022-10-20
17,2022-10-20,캐릭터,683,2022-10-19
18,2022-10-20,"그 남자, 좋은 간호사",462,2022-10-19
19,2022-10-20,컴백홈,457,2022-10-05
20,2022-10-20,낮과 달,446,2022-10-20
21,2022-10-20,프로메어,383,2022-10-20
22,2022-10-20,나를 죽여줘,363,2022-10-19
23,2022-10-20,극장판 헬로카봇: 수상한 마술단의 비밀,320,2022-09-28
24,2022-10-20,수프와 이데올로기,293,2022-10-20
25,2022-10-20,애프터 미투,292,2022-10-06
26,2022-10-20,극장판 이세계 콰르텟: 어나더 월드,229,2022-10-13
27,2022-10-20,한산: 용의 출현,205,2022-07-27
28,2022-10-20,고고다이노 극장판: 얼음공룡의 비밀,186,2022-10-05
29,2022-10-20,"어쩌다 공주, 닭냥이 왕자를 부탁해!",185,2022-09-08
30,2022-10-20,극장판 엄마 까투리: 도시로 간 까투리 가족,161,2022-09-08
31,2022-10-20,아인보: 아마존의 전설,158,2022-10-26
32,2022-10-20,국제시장,150,2014-12-17
33,2022-10-20,뜨거운 양철 지붕 위의 고양이,144,1111-11-11
34,2022-10-20,니얼굴,130,2022-06-23
35,2022-10-20,4DX 문유,104,2022-10-12
36,2022-10-20,옆집사람,102,2022-11-03
37,2022-10-20,말임씨를 부탁해,89,2022-04-13
38,2022-10-20,디셉션,89,2022-10-20
39,2022-10-20,아나이스 인 러브,87,2022-10-13
40,2022-10-20,극장판 주술회전 0,80,2022-02-17
41,2022-10-20,늑대사냥,80,2022-09-21
42,2022-10-20,헤어질 결심,79,2022-06-29
43,2022-10-20,내시,72,1111-11-11
44,2022-10-20,헌트,63,2022-08-10
45,2022-10-20,사랑할 땐 누구나 최악이 된다,61,2022-08-25
46,2022-10-20,블랙폰,60,2022-09-07
47,2022-10-20,OK 목장의 결투,57,1111-11-11
48,2022-10-20,극장판 검정고무신 : 즐거운 나의 집,54,2022-10-06
49,2022-10-20,육사오(6/45),52,2022-08-24
50,2022-10-20,프린세스 아야,52,2022-09-21
51,2022-10-20,녹색광선,51,1111-11-11
52,2022-10-20,물방울을 그리는 남자,50,2022-09-28
53,2022-10-20,기도의 힘,50,2020-04-09
54,2022-10-20,선데이리그,45,2022-10-05
55,2022-10-20,성덕,44,2022-09-28
56,2022-10-20,여름이야기,39,1998-06-13
57,2022-10-20,만추,37,2011-02-17
58,2022-10-20,탑건: 매버릭,33,2022-06-22
59,2022-10-20,날씨의 아이,31,2019-10-30
60,2022-10-20,봄 이야기,30,1111-11-11
61,2022-10-20,신 에반게리온 극장판,28,2022-10-05
62,2022-10-20,어제 뭐 먹었어? -극장판,26,2022-10-13
63,2022-10-20,해변의 폴린,25,1111-11-11
64,2022-10-20,구봉서의 벼락부자,22,1111-11-11
65,2022-10-20,흔들리는 대지,21,1111-11-11
66,2022-10-20,유부녀에 농락당한 젊음,20,2022-10-20
67,2022-10-20,내가 먼저 깃발 꽂은 예비 신부,20,2022-10-20
68,2022-10-20,북클럽,20,2019-06-20
69,2022-10-20,불륜 유부남의 아내와 섹스,20,2022-10-20
70,2022-10-20,방문판매의 목적: 분수터진 유부녀,20,2022-10-20
71,2022-10-20,블레이드 퍼피 워리어,20,2022-09-28
72,2022-10-20,아이의 노랫소리를 들려줘,20,2022-09-22
73,2022-10-20,명탐정 코난: 할로윈의 신부,19,2022-07-13
74,2022-10-20,달콤한 인생,19,1111-11-11
75,2022-10-20,시대혁명,17,2022-10-13
76,2022-10-20,블레이드 러너: 파이널 컷,16,1993-05-08
77,2022-10-20,은하철도 999 - 극장판,15,2022-10-05
78,2022-10-20,에반게리온 신극장판: 파,14,2022-10-14
79,2022-10-20,자전거 도둑,13,1111-11-11
80,2022-10-20,SESIFF2022 경쟁4: 어긋난 교차로,12,1111-11-11
81,2022-10-20,졸업,11,1971-06-19
82,2022-10-20,기동전사 건담 쿠쿠루스 도안의 섬,10,2022-10-05
83,2022-10-20,안티고네,10,2020-11-19
84,2022-10-20,사잇소리,10,2022-10-13
85,2022-10-20,페드라,8,1996-11-16
86,2022-10-20,SESIFF2022 경쟁3: 그들의 사정,8,1111-11-11
87,2022-10-20,에반게리온 신극장판: 서,8,2022-10-14
88,2022-10-20,더더더,7,1111-11-11
89,2022-10-20,SESIFF2022 경쟁9: 아빠 그리고 아빠,7,1111-11-11
90,2022-10-20,거래완료,7,2022-10-06
91,2022-10-20,타인의 삶,7,1111-11-11
92,2022-10-20,라이어×라이어,7,2022-10-17
93,2022-10-20,이별의 아침에 약속의 꽃을 장식하자,7,2018-07-19
94,2022-10-20,에반게리온 신극장판: Q,6,2022-10-14
95,2022-10-20,젊은 남자,5,1994-12-17
96,2022-10-20,릴리 슈슈의 모든 것,5,2005-06-23
97,2022-10-20,달이 지는 밤,5,2022-09-22
98,2022-10-20,네 멋대로 해라: 장 뤽 고다르,5,2020-03-19
99,2022-10-20,꽃다발 같은 사랑을 했다,5,2021-07-14
100,2022-10-20,9명의 번역가,4,2022-09-14
101,2022-10-20,썸머 필름을 타고!,4,2022-07-20
102,2022-10-20,말아,4,2022-08-25
103,2022-10-20,성적표의 김민영,3,2022-09-08
104,2022-10-20,SESIFF2022 경쟁6: 엄마에게,3,1111-11-11
105,2022-10-20,"지금, 이대로가 좋아요",3,2009-04-23
106,2022-10-20,한여름밤의 재즈,3,2022-09-08
107,2022-10-20,태안,3,2022-10-06
108,2022-10-20,애프터: 에버 해피,3,2022-09-21
109,2022-10-20,워리어스 레인보우2: 최후의 결전,2,2014-07-07
110,2022-10-20,너의 이름은.,2,2017-01-04
111,2022-10-20,기기묘묘,2,2022-09-22
112,2022-10-20,2차 송환,2,2022-09-29
113,2022-10-20,처제의 숨결,2,2022-10-18
114,2022-10-20,당신의 이웃은 친절하지 않다,2,2022-09-15
115,2022-10-20,SESIFF2022 문화다양성 특별전,2,1111-11-11
116,2022-10-20,SESIFF2022 경쟁8: 우리가 모르는 척하는 것,2,1111-11-11
117,2022-10-20,워리어스 레인보우: 항전의 시작,2,2014-02-20
118,2022-10-20,스파이더맨: 노 웨이 홈 '펀버전',1,2022-10-05
119,2022-10-20,소공녀,1,2018-03-22
120,2022-10-20,할로윈 엔드,1,2022-10-13
121,2022-10-20,SESIFF2022 경쟁2: 지독한 상상,1,1111-11-11
122,2022-10-20,비브르 사 비,0,1997-05-03
123,2022-10-20,다 잘된 거야,0,2022-09-07
124,2022-10-20,SESIFF2022 경쟁10: 도망쳐!,0,1111-11-11
